Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
"""AT&amp;T Playoff Playlist Live!"", Lil Wayne",1,959103.45,8540,112.31
Vance Joy,4,956686.74,17141,55.54
In Flames,6,955321.51,14079,62.77
Bachman-Turner Overdrive,5,952899.65,16594,57.33
Shania Twain,2,951182.02,6395,143.88
Glass Animals,3,946844.75,14859,68.36
"""Giggly Squad""",2,943324.15,13728,72.8
James Blunt,4,942121.89,16926,55.76
Jo Koy,4,932955.12,10544,93.39
Loyle Carner,3,923408.37,15346,60.22
"""Buzzfest"", Chevelle",1,914755.5,14897,61.41
Dean Lewis,6,909446.9,19151,41.4
Dropkick Murphys,4,906364.45,16706,55.17
Pixies,4,906345.47,15665,59.18
Satinder Sartaaj,1,905668.32,13186,68.68
The Martinez Brothers,1,901171.62,9798,91.98
"""Misneach""",1,901143.0,9639,93.49
"Collective Soul, +LIVE+",4,900125.43,19922,45.49
Quinn XCII,3,895575.03,15361,51.69
Darius Rucker,5,892485.98,19871,47.76
Coco Jones,14,891794.97,23632,37.52
Morad,2,890445.15,19733,44.2
Kraftwerk,3,889466.39,8641,100.33
Yeah Yeah Yeahs,4,888983.52,10552,82.86
El Mimoso,2,887122.31,17260,51.28
NK Divine,1,880252.06,15508,56.76
Dinos,2,879031.56,14342,61.24
Mo Amer,7,878157.28,18081,47.35
José María Napoleón,3,859454.68,10249,78.8
Yungblud,3,856334.99,17715,47.28
Ledisi,6,853929.99,11358,72.26
keshi,2,853134.67,9802,79.17
T-Pain,2,843963.59,13061,65.93
Leon Bridges,3,837223.23,15538,51.68
The Revivalists,2,835951.5,10719,69.03
Averly Morillo,1,831617.5,18967,43.85
The Fray,7,823345.68,14898,54.91
Ringo Starr &amp; His All Starr Band,1,820762.4,5937,138.25
Fisher,1,816760.23,15453,52.85
"""Kidz Bop Live""",6,814748.41,23095,35.86
Cian Ducrot,2,810617.21,14750,49.36
Il Volo,3,805998.98,8167,98.33
Beabadoobee,3,801797.5,12157,69.5
Xavi,3,794718.25,10084,75.6
Mike Birbiglia,1,794027.35,15449,51.4
Jerry Seinfeld,1,788837.0,5820,135.54
Thirty Seconds To Mars,1,788099.0,11751,67.07
K.I.Z.,1,784860.22,9338,84.05
La Arrolladora Banda El Limón,2,784377.0,9157,83.54
Oscar Maydon,3,783544.43,12096,63.23
"""Bluey's Big Play""",2,781151.8,31331,25.54
